Regions,Bioregion,AsiaNative
e himalayas: kurseong,IndoChina,1
east malaysia,Borneo,1
engano,Sumatra,1
engano is.,Sumatra,1
formosa,IndoChina,1
guangdong,IndoChina,1
guangxi,IndoChina,1
guangxi zhuang,IndoChina,1
hainan,IndoChina,1
hong kong,IndoChina,1
hongkong,IndoChina,1
hsinchu,IndoChina,1
hualien,IndoChina,1
india,Indian_Subcontinent,1
"india: \""sikkim\""",Indian_Subcontinent,1
india: assam,Indian_Subcontinent,1
india: bangalore,Indian_Subcontinent,1
india: bengal,Indian_Subcontinent,1
india: bihar,Indian_Subcontinent,1
india: cachar,Indian_Subcontinent,1
india: calcutta,Indian_Subcontinent,1
india: cochin,Indian_Subcontinent,1
india: coimbatore,Indian_Subcontinent,1
india: darjeeling,Indian_Subcontinent,1
india: darjiling,Indian_Subcontinent,1
india: e himalayas,Indian_Subcontinent,1
india: gao,Indian_Subcontinent,1
india: goa,Indian_Subcontinent,1
india: kangra valley,Indian_Subcontinent,1
india: kurseong,Indian_Subcontinent,1
india: madras,Indian_Subcontinent,1
india: madurai,Indian_Subcontinent,1
india: maissour,Indian_Subcontinent,1
india: meerut,Indian_Subcontinent,1
india: meghalaya state,Indian_Subcontinent,1
india: mussooree,Indian_Subcontinent,1
india: mussoorie,Indian_Subcontinent,1
india: mysore,Indian_Subcontinent,1
india: nilgiri hills,Indian_Subcontinent,1
india: north bengal,Indian_Subcontinent,1
india: orissa,Indian_Subcontinent,1
india: pondicherry,Indian_Subcontinent,1
india: sikhim,Indian_Subcontinent,1
india: sikim,Indian_Subcontinent,1
india: sikkim,Indian_Subcontinent,1
india: simla,Indian_Subcontinent,1
india: simla hills,Indian_Subcontinent,1
india: south india,Indian_Subcontinent,1
india: tamil nadu,Indian_Subcontinent,1
india: tenmalai,Indian_Subcontinent,1
india: uttararanvchal state,Indian_Subcontinent,1
india: w sikkim,Indian_Subcontinent,1
india: west bengal,Indian_Subcontinent,1
india: west sikkim,Indian_Subcontinent,1
indian tibet,Indian_Subcontinent,1
indochina,IndoChina,1
indonesia,Sumatra,1
indonesia,Sulawesi,1
indonesia,New_Guinea,1
indonesia,Maluku,1
indonesia,Lesser_Sundas,1
indonesia,Java,1
indonesia,Borneo,1
indonesia ?: carat,NA,NA
indonesia: ambon islands,Maluku,1
indonesia: biak island,New_Guinea,1
indonesia: engano is.,Sumatra,1
indonesia: irian jaya,New_Guinea,1
indonesia: java,Java,1
indonesia: lesser sunda is.,Lesser_Sundas,1
indonesia: lombok,Lesser_Sundas,1
indonesia: mantewei is.,Sumatra,1
indonesia: mantewei island,Sumatra,1
indonesia: mantewei islands,Sumatra,1
indonesia: mentawei is.,Sumatra,1
indonesia: papau,New_Guinea,1
indonesia: papua,New_Guinea,1
indonesia: papua new guinea,New_Guinea,1
indonesia: pulo laut,Borneo,1
indonesia: sulawesi,Sulawesi,1
indonesia: sumatra,Sumatra,1
indonesia: west irian,New_Guinea,1
japan,NA,0
japan: iriomote is.,IndoChina,1
japan: ishigaki is.,IndoChina,1
japan: ishigaki island,IndoChina,1
japan: okinawa,IndoChina,1
japan: okinawa pref.,IndoChina,1
japan: ryuku is.,IndoChina,1
japan: ryuku islands,IndoChina,1
japan: ryukyu islands,IndoChina,1
japan: ryukyus,IndoChina,1
japan: sw islands,IndoChina,1
japan: yonokuni is.,IndoChina,1
java,Java,1
kashmir,IndoChina,1
laos,IndoChina,1
loas,IndoChina,1
lombok,Lesser_Sundas,1
luzon,Philippines,1
madang prov.,New_Guinea,1
malacca,Malaya,1
malaya,Malaya,1
malaya: malacca,Malaya,1
malaya: penang,Malaya,1
malaysia,Malaya,1
malaysia,Borneo,1
malaysia: malaya,Malaya,1
malaysia: pahang,Malaya,1
malaysia: pahang prov.,Malaya,1
malaysia: panang,Malaya,1
malaysia: penang,Malaya,1
malaysia: perak,Malaya,1
malaysia: sabah,Borneo,1
malaysia: sarawak,Borneo,1
malaysia: selangor,Malaya,1
malyasia: sabah,Borneo,1
mantawei is.,Sumatra,1
mayala,Malaya,1
mindanao,Philippines,1
moluccas: ternate is.,Maluku,1
myanmar,IndoChina,1
myanmar (burma),IndoChina,1
n hindostan,Indian_Subcontinent,1
n india,Indian_Subcontinent,1
n sulawesi,Sulawesi,1
nantou,IndoChina,1
ne india,Indian_Subcontinent,1
negros,Philippines,1
nepal,Indian_Subcontinent,1
nepal: bagmati,Indian_Subcontinent,1
nepal: chitwan national park,Indian_Subcontinent,1
nepal: dolakha dist.,Indian_Subcontinent,1
nepal: dolpo district,Indian_Subcontinent,1
nepal: godawari,Indian_Subcontinent,1
nepal: jumla dist.,Indian_Subcontinent,1
nepal: kaski dist.,Indian_Subcontinent,1
nepal: kathmandu,Indian_Subcontinent,1
nepal: kathmandu valey,Indian_Subcontinent,1
nepal: kathmandu valley,Indian_Subcontinent,1
nepal: lalitpur,Indian_Subcontinent,1
nepal: langtang himal nat. park,Indian_Subcontinent,1
nepal: makawanpur dist.,Indian_Subcontinent,1
nepal: makawnpur distr.,Indian_Subcontinent,1
nepal: mt. pulchoki,Indian_Subcontinent,1
nepal: sindhu,Indian_Subcontinent,1
new britain,New_Guinea,1
new guinea,New_Guinea,1
new guinea: bulolo,New_Guinea,1
new guinea: key tual,New_Guinea,1
new guinea: madang prov.,New_Guinea,1
new guinea: wagiou,New_Guinea,1
new guinea: west irian,New_Guinea,1
new guinea: widespread,New_Guinea,1
new ireland,New_Guinea,1
nicobar is.,Andamans,1
north hindostan,Indian_Subcontinent,1
okinawa,IndoChina,1
ostindien,NA,1
palawan,Palawan,1
papua new guinea,New_Guinea,1
papua new guinea: bougaineville prov.,NA,0
papua new guinea: central prov.,New_Guinea,1
papua new guinea: east new britain,New_Guinea,1
papua new guinea: east new britain prov.,New_Guinea,1
papua new guinea: eastern highlands prov.,New_Guinea,1
papua new guinea: enga prov.,New_Guinea,1
papua new guinea: madang,New_Guinea,1
papua new guinea: madang prov.,New_Guinea,1
papua new guinea: morobe,New_Guinea,1
papua new guinea: morobe prov.,New_Guinea,1
papua new guinea: morobe prov. [mistakenly listed from new guinea],New_Guinea,1
papua new guinea: new ireland prov.,New_Guinea,1
papua new guinea: northern prov.,New_Guinea,1
papua new guinea: southern highlands prov.,New_Guinea,1
papua new guinea: unknown prov.,New_Guinea,1
papua new guinea: west sepik,New_Guinea,1
papua new guinea: west sepik prov.,New_Guinea,1
papua new guinea: western highlands,New_Guinea,1
papua new guinea: western highlands prov.,New_Guinea,1
papua new guinea: widespread,New_Guinea,1
papua new guinea:east sepik prov.: madang prov.,New_Guinea,1
philippies,Philippines,1
philippies,Palawan,1
philippine is: luzon,Philippines,1
philippine is: mindanao,Philippines,1
philippine is.,Philippines,1
philippine is.,Palawan,1
philippine is.: basilan,Philippines,1
philippine is.: bataan,Philippines,1
philippine is.: biliran,Philippines,1
philippine is.: culion,Palawan,1
philippine is.: leyte,Philippines,1
philippine is.: luzon,Philippines,1
philippine is.: manilla,Philippines,1
philippine is.: mindanao,Philippines,1
philippine is.: mindoro,Philippines,1
philippine is.: negros,Philippines,1
philippine is.: palawan,Palawan,1
philippine is.: rizal,Palawan,1
philippine is.: samar is.,Philippines,1
philippine is.: tawitawi,Philippines,1
philippine islands,Philippines,1
philippine islands,Palawan,1
philippine islands: albay prov.,Philippines,1
philippine islands: angeles city,Philippines,1
philippine islands: camarines sur,Philippines,1
philippine islands: isabela,Philippines,1
philippine islands: leyete,Philippines,1
philippine islands: leyte,Philippines,1
philippine islands: luzon,Philippines,1
philippine islands: mindanao,Philippines,1
philippine islands: misamis oriental,Philippines,1
philippine islands: negros,Philippines,1
philippine islands: negros island,Philippines,1
philippine islands: rizal,Palawan,1
philippine islands: tawitawi,Philippines,1
philippine islands: visayas,Philippines,1
philippine islands: vosayas,Philippines,1
philippine: biliran is.,Philippines,1
philippines,Philippines,1
philippines,Palawan,1
philippines is.,Philippines,1
philippines is.,Palawan,1
philippines: panay island,Philippines,1
phillipine islands: albay,Philippines,1
phillipines,Philippines,1
phillipines,Palawan,1
pulo laut,Borneo,1
pulo penang (malaya),Malaya,1
ryuku is.,IndoChina,1
ryuku islands,IndoChina,1
ryukyu islands,IndoChina,1
s china,NA,0
s india,Indian_Subcontinent,1
s india: coimbatore,Indian_Subcontinent,1
s india: kodai kanal,Indian_Subcontinent,1
s india: nandidrug hill,Indian_Subcontinent,1
s india: nilgiri hills,Indian_Subcontinent,1
s india: utakamand,Indian_Subcontinent,1
s sulawesi,Sulawesi,1
s sulwesi,Sulawesi,1
sarawak,Borneo,1
se asia,NA,1
si-oban,Sumatra,1
siam,IndoChina,1
sikkim,Indian_Subcontinent,1
singapore,Malaya,1
sri lanka,Indian_Subcontinent,1
sri lanka east to samoa,Indian_Subcontinent,1
sri lanka: nitagala,Indian_Subcontinent,1
sri lanka: pundaloya,Indian_Subcontinent,1
sulawesi,Sulawesi,1
sulawesi: dumoga-bone national park,Sulawesi,1
sulawesi: makian,Sulawesi,1
sumatra,Sumatra,1
taichung,IndoChina,1
taipei,IndoChina,1
taitung,IndoChina,1
taiwan,IndoChina,1
taiwan;,IndoChina,1
taiwan: chuchi,IndoChina,1
taiwan: hengchun kentine park,IndoChina,1
taiwan: hengchun kenting national park,IndoChina,1
taiwan: kao feag,IndoChina,1
taiwan: nan tou co.,IndoChina,1
taiwan: nantou,IndoChina,1
taiwan: pintung,IndoChina,1
taiwan: taichung,IndoChina,1
taiwan: taipei,IndoChina,1
taiwan: taitung,IndoChina,1
taiwan: takan,IndoChina,1
taiyuan,IndoChina,1
ternate,Maluku,1
thailand,IndoChina,1
thailand: chiang mai,IndoChina,1
thailand: nakhom tatchasma prov.,IndoChina,1
thailand: nakhon katchasima prov.,IndoChina,1
thailand: nakhon nayok prov.,IndoChina,1
thailand: nakhon ratchasima,IndoChina,1
thailand: nakhon ratchasima prov.,IndoChina,1
thailand: rachasima prov.,IndoChina,1
thailand: saraburi,IndoChina,1
thailand: saraburi prov.,IndoChina,1
thailand: si-ayutthaya prov.,IndoChina,1
thailand: yala,IndoChina,1
thaland: ayutthaya,IndoChina,1
timor,Lesser_Sundas,1
tonkin,IndoChina,1
tonkin centr.,IndoChina,1
tropical asia,NA,1
tropical se asia,NA,1
viet nam,IndoChina,1
viet nam: tonkin,IndoChina,1
vietnam,IndoChina,1
west malaysia: perak,Malaya,1
yunnan,IndoChina,1
