Description,Bioregion,Exclude,AsiaNative,Also_nontrop
bismarck island,Indian_Subcontinent,0,1,0
bismarck islands,Indian_Subcontinent,0,1,0
bismarcks,Indian_Subcontinent,0,1,0
bismark,Indian_Subcontinent,0,1,0
bismarsks,Indian_Subcontinent,0,1,0
boatkhali,Indian_Subcontinent,0,1,0
bulandshahr,Indian_Subcontinent,0,1,0
burdwan district,Indian_Subcontinent,0,1,0
calicut district,Indian_Subcontinent,0,1,0
chagos archipelago diego garcia,Indian_Subcontinent,0,1,0
chambra peak area,Indian_Subcontinent,0,1,0
chembra peak area,Indian_Subcontinent,0,1,0
cinchona,Indian_Subcontinent,0,1,0
coochbehar,Indian_Subcontinent,0,1,0
dadakharka-ghopte,Indian_Subcontinent,0,1,0
dalhousie,Indian_Subcontinent,0,1,0
darjeeling,Indian_Subcontinent,0,1,0
darjeeling area,Indian_Subcontinent,0,1,0
darjeeling district,Indian_Subcontinent,0,1,0
dharmapuri district,Indian_Subcontinent,0,1,0
dunche-syabru,Indian_Subcontinent,0,1,0
e assam,Indian_Subcontinent,0,1,0
e bihar,Indian_Subcontinent,0,1,0
e india,Indian_Subcontinent,0,1,0
e india  andhra pradesh,Indian_Subcontinent,0,1,0
e madras,Indian_Subcontinent,0,1,0
e uttar pradesh,Indian_Subcontinent,0,1,0
e w bengal,Indian_Subcontinent,0,1,0
europe: asia: nepal,Indian_Subcontinent,0,1,1
europeindia kashmir,Indian_Subcontinent,0,1,1
europeindia sikkim,Indian_Subcontinent,0,1,1
farther india,Indian_Subcontinent,0,1,0
ghopte-gosainkund,Indian_Subcontinent,0,1,0
goa,Indian_Subcontinent,0,1,0
godavari,Indian_Subcontinent,0,1,0
gosaba,Indian_Subcontinent,0,1,0
gujarat,Indian_Subcontinent,0,1,0
gulawthi,Indian_Subcontinent,0,1,0
himachal,Indian_Subcontinent,0,1,0
himachal pradesh,Indian_Subcontinent,0,1,0
himalaya,Indian_Subcontinent,0,1,1
himalaya incl phagu,Indian_Subcontinent,0,1,0
himalaya simla hills,Indian_Subcontinent,0,1,0
hisar,Indian_Subcontinent,0,1,0
ilam district,Indian_Subcontinent,0,1,0
inda gujarat,Indian_Subcontinent,0,1,0
inda madras,Indian_Subcontinent,0,1,0
inda mysore,Indian_Subcontinent,0,1,0
inda punjab,Indian_Subcontinent,0,1,0
indai,Indian_Subcontinent,0,1,0
indai punjab,Indian_Subcontinent,0,1,0
indes orientales,Indian_Subcontinent,0,1,0
indi assam,Indian_Subcontinent,0,1,0
indi madras,Indian_Subcontinent,0,1,0
india,Indian_Subcontinent,0,1,0
india  w bengal,Indian_Subcontinent,0,1,0
india ?assam,Indian_Subcontinent,0,1,0
india ?uttar pradesh,Indian_Subcontinent,0,1,0
india ?w bengal,Indian_Subcontinent,0,1,0
india 'bengal',Indian_Subcontinent,0,1,0
india anamalai hills,Indian_Subcontinent,0,1,0
india andhara pradesh,Indian_Subcontinent,0,1,0
india andhra,Indian_Subcontinent,0,1,0
india andhra pradesh,Indian_Subcontinent,0,1,0
india andhra pradesh south africa,Indian_Subcontinent,0,1,1
india andhra prahesh,Indian_Subcontinent,0,1,0
india andra pradesh,Indian_Subcontinent,0,1,0
india arunachal,Indian_Subcontinent,0,1,0
india arunachal pradesh,Indian_Subcontinent,0,1,0
india arunchal,Indian_Subcontinent,0,1,0
india arunchal pradesh,Indian_Subcontinent,0,1,0
india as madras or calcutta,Indian_Subcontinent,0,1,0
india asaam,Indian_Subcontinent,0,1,0
india assam,Indian_Subcontinent,0,1,0
india assam indochina,Indian_Subcontinent,0,1,0
india assam malaysia peninsular,Indian_Subcontinent,0,1,0
india assam nepal,Indian_Subcontinent,0,1,0
india assam: kameng,Indian_Subcontinent,0,1,0
india assam},Indian_Subcontinent,0,1,0
india assam0,Indian_Subcontinent,0,1,0
india bangalore,Indian_Subcontinent,0,1,0
india bengal,Indian_Subcontinent,0,1,0
india bhutan,Indian_Subcontinent,0,1,0
india bihar,Indian_Subcontinent,0,1,0
india bijar,Indian_Subcontinent,0,1,0
india bombay,Indian_Subcontinent,0,1,0
india chandigarh,Indian_Subcontinent,0,1,0
india cinchona anamalai hills,Indian_Subcontinent,0,1,0
india darjeeling,Indian_Subcontinent,0,1,0
india dehli,Indian_Subcontinent,0,1,0
india delhi,Indian_Subcontinent,0,1,0
india goa,Indian_Subcontinent,0,1,0
india goza,Indian_Subcontinent,0,1,0
india guinda,Indian_Subcontinent,0,1,0
india gujarat,Indian_Subcontinent,0,1,0
india haryana,Indian_Subcontinent,0,1,0
india himachai pradesh,Indian_Subcontinent,0,1,0
india himachal,Indian_Subcontinent,0,1,0
india himachal pradesh,Indian_Subcontinent,0,1,0
india himachal pradesh to assam,Indian_Subcontinent,0,1,0
"india himachal pradesh,",Indian_Subcontinent,0,1,0
india himachla pradesh,Indian_Subcontinent,0,1,0
india himalaya,Indian_Subcontinent,0,1,0
india hyderabad,Indian_Subcontinent,0,1,0
india indochina,Indian_Subcontinent,0,1,0
india intercepted in china port,Indian_Subcontinent,0,1,0
india jammu,Indian_Subcontinent,0,1,0
india jammu and kashmir,Indian_Subcontinent,0,1,0
india jharkand,Indian_Subcontinent,0,1,0
india jhjarkand,Indian_Subcontinent,0,1,0
india karmataka,Indian_Subcontinent,0,1,0
india karna,Indian_Subcontinent,0,1,0
india karnataka,Indian_Subcontinent,0,1,0
india kashimr,Indian_Subcontinent,0,1,0
india kashmir,Indian_Subcontinent,0,1,0
india kerala,Indian_Subcontinent,0,1,0
"india kerala,",Indian_Subcontinent,0,1,0
india kerala: munnar,Indian_Subcontinent,0,1,0
india kerala: nedumangad,Indian_Subcontinent,0,1,0
india kerata,Indian_Subcontinent,0,1,0
india kereala,Indian_Subcontinent,0,1,0
india koli state,Indian_Subcontinent,0,1,0
india kumaon,Indian_Subcontinent,0,1,0
india lakshadeep is,Indian_Subcontinent,0,1,0
india madhya,Indian_Subcontinent,0,1,0
india madhya pradesh,Indian_Subcontinent,0,1,0
india madras,Indian_Subcontinent,0,1,0
india madras s malabar,Indian_Subcontinent,0,1,0
india madrs,Indian_Subcontinent,0,1,0
india maharashtra,Indian_Subcontinent,0,1,0
india maharasthra,Indian_Subcontinent,0,1,0
india maharastra,Indian_Subcontinent,0,1,0
india malaysia peninsular,Indian_Subcontinent,0,1,0
india megahalaya,Indian_Subcontinent,0,1,0
india meghalaya,Indian_Subcontinent,0,1,0
india mizoram,Indian_Subcontinent,0,1,0
india mysore,Indian_Subcontinent,0,1,0
india n bengal,Indian_Subcontinent,0,1,0
india nagaland,Indian_Subcontinent,0,1,0
india north,Indian_Subcontinent,0,1,0
india northern,Indian_Subcontinent,0,1,0
india orissa,Indian_Subcontinent,0,1,0
india orissa},Indian_Subcontinent,0,1,0
india ormiss,Indian_Subcontinent,0,1,0
india pondicherry,Indian_Subcontinent,0,1,0
india pradesh,Indian_Subcontinent,0,1,0
india punjab,Indian_Subcontinent,0,1,0
india punjab states,Indian_Subcontinent,0,1,0
india rajasthan,Indian_Subcontinent,0,1,0
india s india,Indian_Subcontinent,0,1,0
india sikkim,Indian_Subcontinent,0,1,0
india simla,Indian_Subcontinent,0,1,0
india simla hills,Indian_Subcontinent,0,1,0
india subregion,Indian_Subcontinent,0,1,0
india tami nadu,Indian_Subcontinent,0,1,0
india tamil nadu,Indian_Subcontinent,0,1,0
india tamil nadul,Indian_Subcontinent,0,1,0
india thailand,Indian_Subcontinent,0,1,0
india travancore,Indian_Subcontinent,0,1,0
india travancore: pallode,Indian_Subcontinent,0,1,0
india tripura,Indian_Subcontinent,0,1,0
india uttar pradesh,Indian_Subcontinent,0,1,0
india uttar pradseh,Indian_Subcontinent,0,1,0
india uttarakand,Indian_Subcontinent,0,1,0
india uttarakhand,Indian_Subcontinent,0,1,0
india uttaranchal,Indian_Subcontinent,0,1,0
india uttat pradesh,Indian_Subcontinent,0,1,0
india w bebgal,Indian_Subcontinent,0,1,0
india w bengal,Indian_Subcontinent,0,1,0
india w bengal java,Indian_Subcontinent,0,1,0
india w bengal philippines,Indian_Subcontinent,0,1,0
india west bengal,Indian_Subcontinent,0,1,0
india west bengal darjeeling,Indian_Subcontinent,0,1,0
india west bengasl,Indian_Subcontinent,0,1,0
india western ghats,Indian_Subcontinent,0,1,0
india widespread,Indian_Subcontinent,0,1,0
india: tamil nadu,Indian_Subcontinent,0,1,0
indian,Indian_Subcontinent,0,1,0
indian meghalaya,Indian_Subcontinent,0,1,0
indian subregion,Indian_Subcontinent,0,1,0
indias sikkim,Indian_Subcontinent,0,1,0
indias west bengal,Indian_Subcontinent,0,1,0
indic region,Indian_Subcontinent,0,1,0
inida bihar,Indian_Subcontinent,0,1,0
inida maharashtra,Indian_Subcontinent,0,1,0
inida punjab,Indian_Subcontinent,0,1,0
inida uttar pradesh,Indian_Subcontinent,0,1,0
insia assam,Indian_Subcontinent,0,1,0
jaipur,Indian_Subcontinent,0,1,0
jammu,Indian_Subcontinent,0,1,0
jammu and kashmir,Indian_Subcontinent,0,1,0
jodhpur,Indian_Subcontinent,0,1,0
junagadh district,Indian_Subcontinent,0,1,0
kakdwip,Indian_Subcontinent,0,1,0
kalimpong,Indian_Subcontinent,0,1,0
kandy district,Indian_Subcontinent,0,1,0
karikal,Indian_Subcontinent,0,1,0
karnataka,Indian_Subcontinent,0,1,0
kashmir,Indian_Subcontinent,0,1,0
kasmir state,Indian_Subcontinent,0,1,0
kathmandu,Indian_Subcontinent,0,1,0
kerala,Indian_Subcontinent,0,1,0
kerala state,Indian_Subcontinent,0,1,0
kiarali,Indian_Subcontinent,0,1,0
kodaikanal,Indian_Subcontinent,0,1,0
kodaikanal area,Indian_Subcontinent,0,1,0
kumaon himalaya,Indian_Subcontinent,0,1,0
madhya pradesh,Indian_Subcontinent,0,1,0
madras,Indian_Subcontinent,0,1,0
magen gotha-thare pati,Indian_Subcontinent,0,1,0
maharashtra,Indian_Subcontinent,0,1,0
mai pokhari,Indian_Subcontinent,0,1,0
maldive islands,Indian_Subcontinent,0,1,0
manchungan,Indian_Subcontinent,0,1,0
mandore garden,Indian_Subcontinent,0,1,0
manipur,Indian_Subcontinent,0,1,0
matiana,Indian_Subcontinent,0,1,0
mazaffarpur,Indian_Subcontinent,0,1,0
meghalaya,Indian_Subcontinent,0,1,0
mera la,Indian_Subcontinent,0,1,0
mizoram,Indian_Subcontinent,0,1,0
mysore state,Indian_Subcontinent,0,1,0
n e india,Indian_Subcontinent,0,1,0
n india,Indian_Subcontinent,0,1,0
NA delhi,Indian_Subcontinent,0,1,0
NA kerala,Indian_Subcontinent,0,1,0
naduvatum,Indian_Subcontinent,0,1,0
naini tal,Indian_Subcontinent,0,1,0
nangpo,Indian_Subcontinent,0,1,0
ne india,Indian_Subcontinent,0,1,0
nepa,Indian_Subcontinent,0,1,0
nepal,Indian_Subcontinent,0,1,0
nepal myanmar,Indian_Subcontinent,0,1,0
nepal pakistan,Indian_Subcontinent,0,1,1
nepal pokhara,Indian_Subcontinent,0,1,0
nepal w pakistan,Indian_Subcontinent,0,1,1
nilgiri hills,Indian_Subcontinent,0,1,0
nongpoh forest,Indian_Subcontinent,0,1,0
north india,Indian_Subcontinent,0,1,0
northern india,Indian_Subcontinent,0,1,0
northwest himalaya,Indian_Subcontinent,0,1,0
nuwara eliya,Indian_Subcontinent,0,1,0
nw india,Indian_Subcontinent,0,1,0
or: india,Indian_Subcontinent,0,1,0
oriental n india and nepal region,Indian_Subcontinent,0,1,0
oriental region: nepal,Indian_Subcontinent,0,1,0
orissa,Indian_Subcontinent,0,1,0
padaviya tank,Indian_Subcontinent,0,1,0
panch chali,Indian_Subcontinent,0,1,0
pokhara,Indian_Subcontinent,0,1,0
pondicherry,Indian_Subcontinent,0,1,0
prathapgarh,Indian_Subcontinent,0,1,0
pulney hills,Indian_Subcontinent,0,1,0
punjab,Indian_Subcontinent,0,1,0
rahla,Indian_Subcontinent,0,1,0
rajasthan,Indian_Subcontinent,0,1,0
ranchi,Indian_Subcontinent,0,1,0
ratnagiri coast,Indian_Subcontinent,0,1,0
s india,Indian_Subcontinent,0,1,0
s sri lanka,Indian_Subcontinent,0,1,0
shevaroy hills,Indian_Subcontinent,0,1,0
sikkim,Indian_Subcontinent,0,1,0
siliguri,Indian_Subcontinent,0,1,0
simla,Indian_Subcontinent,0,1,0
singhik,Indian_Subcontinent,0,1,0
sir lanka,Indian_Subcontinent,0,1,0
sirohi district,Indian_Subcontinent,0,1,0
south 24-parganas district,Indian_Subcontinent,0,1,0
southern india,Indian_Subcontinent,0,1,0
sri,Indian_Subcontinent,0,1,0
sri lanak,Indian_Subcontinent,0,1,0
sri lanja,Indian_Subcontinent,0,1,0
sri lanka,Indian_Subcontinent,0,1,0
sri lanka peradeniya,Indian_Subcontinent,0,1,0
sri lanka sumatra,Indian_Subcontinent,0,1,0
sri lanka taiwan,Indian_Subcontinent,0,1,0
sri lanke,Indian_Subcontinent,0,1,0
sri-lanka,Indian_Subcontinent,0,1,0
tamil,Indian_Subcontinent,0,1,0
tamil nadu,Indian_Subcontinent,0,1,0
tenmalai,Indian_Subcontinent,0,1,0
thar desert,Indian_Subcontinent,0,1,0
thawalamtenne,Indian_Subcontinent,0,1,0
theong,Indian_Subcontinent,0,1,0
thimpu,Indian_Subcontinent,0,1,0
travancore,Indian_Subcontinent,0,1,0
tripura,Indian_Subcontinent,0,1,0
ukhrul,Indian_Subcontinent,0,1,0
utrar pradesh,Indian_Subcontinent,0,1,0
uttar,Indian_Subcontinent,0,1,0
uttar pradesh,Indian_Subcontinent,0,1,0
uttar pradesh india,Indian_Subcontinent,0,1,0
veraval,Indian_Subcontinent,0,1,0
w bengal,Indian_Subcontinent,0,1,0
west bengal,Indian_Subcontinent,0,1,0
western palaearctic reg sthn india,Indian_Subcontinent,0,1,1
widesp nepal,Indian_Subcontinent,0,1,0
widespread in n hills of india,Indian_Subcontinent,0,1,0
widespread india,Indian_Subcontinent,0,1,0
achin state,IndoChina,0,1,0
asia: taiwan,IndoChina,0,1,0
ba vi,IndoChina,0,1,0
baishui,IndoChina,0,1,0
ban sap bon,IndoChina,0,1,0
bang khun klang,IndoChina,0,1,0
baoshan,IndoChina,0,1,0
binchuan,IndoChina,0,1,0
boi suthep,IndoChina,0,1,0
bok kai water fall,IndoChina,0,1,0
brma,IndoChina,0,1,0
burma,IndoChina,0,1,0
camboda,IndoChina,0,1,0
cambodia,IndoChina,0,1,0
cambodida,IndoChina,0,1,0
cheli,IndoChina,0,1,0
chiang mai,IndoChina,0,1,0
chiang mai province,IndoChina,0,1,0
chiang rai,IndoChina,0,1,0
china  hainan,IndoChina,0,1,0
china annam-tonkin frontier,IndoChina,0,1,0
china guandong,IndoChina,0,1,0
china guangdong,IndoChina,0,1,0
china guangdong province,IndoChina,0,1,0
china guangdong: china shaanxi,IndoChina,0,1,1
china guangxi,IndoChina,0,1,0
china guangxi xing'an,IndoChina,0,1,0
china guangxi yunnan,IndoChina,0,1,0
china guangxi zhuang,IndoChina,0,1,0
china guangxi-zhuang,IndoChina,0,1,0
china guangzhou,IndoChina,0,1,0
china haidan,IndoChina,0,1,0
china hainan,IndoChina,0,1,0
china hainan is,IndoChina,0,1,0
china hainan island,IndoChina,0,1,0
china hainan: jianfeng mountain,IndoChina,0,1,0
china honam island,IndoChina,0,1,0
china hong kong,IndoChina,0,1,0
china hongkong,IndoChina,0,1,0
china kwangsi,IndoChina,0,1,0
china kwangting,IndoChina,0,1,0
china kwangtung,IndoChina,0,1,0
china kwangtung taiwan,IndoChina,0,1,0
china kwantung,IndoChina,0,1,0
china macao,IndoChina,0,1,0
china macau,IndoChina,0,1,0
china sichuan yunnan,IndoChina,0,1,1
china southern,IndoChina,0,1,1
china taiwan,IndoChina,0,1,0
china yunan,IndoChina,0,1,0
china yunnan,IndoChina,0,1,0
china yunnan xiaguan,IndoChina,0,1,0
china yunnnan,IndoChina,0,1,0
china yunnsn,IndoChina,0,1,0
china: yunnan,IndoChina,0,1,0
chinhills,IndoChina,0,1,0
coloane island,IndoChina,0,1,1
damaotong,IndoChina,0,1,0
damonglong,IndoChina,0,1,0
de tha ngone,IndoChina,0,1,0
deqen,IndoChina,0,1,0
dinhushan,IndoChina,0,1,0
doi inthanon,IndoChina,0,1,0
doi inthanon national park,IndoChina,0,1,0
doi luang national park,IndoChina,0,1,0
doi suthep,IndoChina,0,1,0
dunche,IndoChina,0,1,0
e taiwan,IndoChina,0,1,0
east gulf of siam,IndoChina,0,1,0
fenkai county,IndoChina,0,1,0
formoas,IndoChina,0,1,0
foromsa,IndoChina,0,1,0
french indochina,IndoChina,0,1,0
funaura,IndoChina,0,1,0
gi sion village,IndoChina,0,1,0
guangdong,IndoChina,0,1,0
guangxi,IndoChina,0,1,0
guangzhou,IndoChina,0,1,0
ha son binh,IndoChina,0,1,0
hainan,IndoChina,0,1,0
hainan is,IndoChina,0,1,0
hainan island,IndoChina,0,1,0
hanoi,IndoChina,0,1,0
haoinan,IndoChina,0,1,0
heishiding natural conservation,IndoChina,0,1,0
hong kong,IndoChina,0,1,0
huang tang village,IndoChina,0,1,0
huaping,IndoChina,0,1,0
hungtou,IndoChina,0,1,0
india assam indochina,IndoChina,0,1,0
india indochina,IndoChina,0,1,0
india thailand,IndoChina,0,1,0
india w bengal java,IndoChina,0,1,0
indo-china,IndoChina,0,1,0
indochina,IndoChina,0,1,0
indochina cochin-china,IndoChina,0,1,0
indochina tonkin,IndoChina,0,1,0
"indochina,china",IndoChina,0,1,1
inochina,IndoChina,0,1,0
iriomote,IndoChina,0,1,0
ishigaki,IndoChina,0,1,0
japan incl ryukyu archipelago,IndoChina,0,1,1
japan iriomote,IndoChina,0,1,0
japan iriomote is,IndoChina,0,1,0
japan ishigaki,IndoChina,0,1,0
japan okinawa,IndoChina,0,1,0
japan ryuku islands,IndoChina,0,1,0
japan ryukus,IndoChina,0,1,0
japan ryukyu,IndoChina,0,1,0
japan ryukyu is,IndoChina,0,1,0
japan ryukyu is okinawa,IndoChina,0,1,0
japan ryukyu islands,IndoChina,0,1,0
japan ryukyu-retto,IndoChina,0,1,0
japan ryukyus,IndoChina,0,1,0
japan ryukyus iriomote,IndoChina,0,1,0
japan ryukyus okinawa,IndoChina,0,1,0
japan yaeyama is,IndoChina,0,1,0
java laos,IndoChina,0,1,0
jianfenglian,IndoChina,0,1,0
jianfengling mountain,IndoChina,0,1,0
jilushan,IndoChina,0,1,0
jinghong county,IndoChina,0,1,0
jinping,IndoChina,0,1,0
jinxiu,IndoChina,0,1,0
kambaiti,IndoChina,0,1,0
kampuchea,IndoChina,0,1,0
kanchana buri,IndoChina,0,1,0
kanchanaburi,IndoChina,0,1,0
khanim water falls,IndoChina,0,1,0
khao sok,IndoChina,0,1,0
khao yai national park,IndoChina,0,1,0
khaoi yai national park,IndoChina,0,1,0
khaophappha khaochang,IndoChina,0,1,0
ko ra island,IndoChina,0,1,0
kotosho island,IndoChina,0,1,0
kunming,IndoChina,0,1,0
lanyu,IndoChina,0,1,0
laos,IndoChina,0,1,0
laos or vietnam,IndoChina,0,1,0
laso,IndoChina,0,1,0
laso vietnam,IndoChina,0,1,0
lienhuachih,IndoChina,0,1,0
lienwachih,IndoChina,0,1,0
lomphat,IndoChina,0,1,0
longjin,IndoChina,0,1,0
longsheng,IndoChina,0,1,0
lushui,IndoChina,0,1,0
macao,IndoChina,0,1,0
macau,IndoChina,0,1,0
macuyama,IndoChina,0,1,0
mai chou,IndoChina,0,1,0
"malaysia, thailand",IndoChina,0,1,0
"malaysia,thailand",IndoChina,0,1,0
meifeng,IndoChina,0,1,0
melongbanna,IndoChina,0,1,0
mengla,IndoChina,0,1,0
mengla county,IndoChina,0,1,0
menglongbanna,IndoChina,0,1,0
mergui archipelago,IndoChina,0,1,0
moirigkawagabo,IndoChina,0,1,0
montathom waterfall,IndoChina,0,1,0
mount victoria,IndoChina,0,1,0
mount yonaha,IndoChina,0,1,0
myanmar,IndoChina,0,1,0
myanmar kachin: kambaiti 25°24'n 98°9'e,IndoChina,0,1,0
"myanmar,",IndoChina,0,1,0
"myanmar,china",IndoChina,0,1,1
myanmar: kambaiti,IndoChina,0,1,0
n myanmar,IndoChina,0,1,0
n thailand,IndoChina,0,1,0
n viertnam,IndoChina,0,1,0
n vietnam,IndoChina,0,1,0
nam tamai valley,IndoChina,0,1,0
nanno shan,IndoChina,0,1,0
nantou,IndoChina,0,1,0
nepal china tibet,IndoChina,0,1,1
nepal myanmar,IndoChina,0,1,0
okinawa,IndoChina,0,1,0
okinawa i,IndoChina,0,1,0
okinawa is,IndoChina,0,1,0
okinawa isl,IndoChina,0,1,0
okinawa island,IndoChina,0,1,0
oklinawa,IndoChina,0,1,0
omoto-dake,IndoChina,0,1,0
oriental region: taiwan,IndoChina,0,1,0
park siac pai van,IndoChina,0,1,0
phang-nga province,IndoChina,0,1,0
phangnga province,IndoChina,0,1,0
philippines vietnam,IndoChina,0,1,0
ponape,IndoChina,0,1,0
ranong,IndoChina,0,1,0
ranong province,IndoChina,0,1,0
ruili,IndoChina,0,1,0
ruili city,IndoChina,0,1,0
ruili county,IndoChina,0,1,0
ryukus,IndoChina,0,1,0
ryukuys,IndoChina,0,1,0
ryukyu,IndoChina,0,1,0
ryukyu is,IndoChina,0,1,0
ryukyu isalnds,IndoChina,0,1,0
ryukyu island,IndoChina,0,1,0
ryukyu islands,IndoChina,0,1,0
ryukyu retto,IndoChina,0,1,0
ryukyu-retto,IndoChina,0,1,0
ryukyus,IndoChina,0,1,0
ryukyus okinawa,IndoChina,0,1,0
s china,IndoChina,0,1,1
s china yunnan,IndoChina,0,1,0
s thailand,IndoChina,0,1,0
s vietnam,IndoChina,0,1,0
s yunnan,IndoChina,0,1,0
sa nangmanora park,IndoChina,0,1,0
sai yok,IndoChina,0,1,0
sanhsia,IndoChina,0,1,0
sanya,IndoChina,0,1,0
sara buri,IndoChina,0,1,0
saravane,IndoChina,0,1,0
shan shui city,IndoChina,0,1,0
shangchuan island,IndoChina,0,1,0
son la,IndoChina,0,1,0
south china widley distributed in the oriental region,IndoChina,0,1,1
southern china,IndoChina,0,1,1
sri lanka taiwan,IndoChina,0,1,0
sumatra thailand,IndoChina,0,1,0
tahialnd,IndoChina,0,1,0
tainan,IndoChina,0,1,0
taipei,IndoChina,0,1,0
taitung,IndoChina,0,1,0
taiwan,IndoChina,0,1,0
taiwan chip-chip,IndoChina,0,1,0
taiwan kanshirei,IndoChina,0,1,0
